Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug reaction,Stop irritation,Consult nearest hospital,Stop taking drug,Follow up
Malaria,Consult nearest hospital,Avoid oily food,Avoid non veg food,Keep mosquitos out
Allergy,Apply calamine,Cover area with bandage,,Use ice to compress itching
Hypothyroidism,Reduce stress,Exercise,Eat healthy,Get proper sleep
Psoriasis,Wash hands with warm soapy water,Stop bleeding using pressure,Consult doctor,Salt baths
Gerd,Avoid fatty spicy food,Avoid lying down after eating,Maintain healthy weight,Exercise
Chronic cholestasis,Cold baths,Anti itch medicine,Consult doctor,Eat healthy
Hepatitis a,Consult nearest hospital,Wash hands through,Avoid fatty spicy food,Medication
Osteoarthristis,Acetaminophen,Consult nearest hospital,Follow up,Salt baths
(vertigo) paroymsal  positional vertigo,Lie down,Avoid sudden change in body,Avoid abrupt head movment,Relax
Hypoglycemia,Lie down on side,Check in pulse,Drink sugary drinks,Consult doctor
Acne,Bath twice,Avoid fatty spicy food,Drink plenty of water,Avoid too many products
Diabetes ,Have balanced diet,Exercise,Consult doctor,Follow up
Impetigo,Soak affected area in warm water,Use antibiotics,Remove scabs with wet compressed cloth,Consult doctor
Hypertension ,Meditation,Salt baths,Reduce stress,Get proper sleep
Peptic ulcer diseae,Avoid fatty spicy food,Consume probiotic food,Eliminate milk,Limit alcohol
Dimorphic hemmorhoids(piles),Avoid fatty spicy food,Consume witch hazel,Warm bath with epsom salt,Consume alovera juice
Common cold,Drink vitamin c rich drinks,Take vapour,Avoid cold food,Keep fever in check
Chicken pox,Use neem in bathing ,Consume neem leaves,Take vaccine,Avoid public places
Cervical spondylosis,Use heating pad or cold pack,Exercise,Take otc pain reliver,Consult doctor
Hyperthyroidism,Eat healthy,Massage,Use lemon balm,Take radioactive iodine treatment
Urinary tract infection,Drink plenty of water,Increase vitamin c intake,Drink cranberry juice,Take probiotics
Varicose veins,Lie down flat and raise the leg high,Use oinments,Use vein compression,Dont stand still for long
Aids,Avoid open cuts,Wear ppe if possible,Consult doctor,Follow up
Paralysis (brain hemorrhage),Massage,Eat healthy,Exercise,Consult doctor
Typhoid,Eat high calorie vegitables,Antiboitic therapy,Consult doctor,Medication
Hepatitis b,Consult nearest hospital,Vaccination,Eat healthy,Medication
Fungal infection,Bath twice,Use detol or neem in bathing water,Keep infected area dry,Use clean cloths
Hepatitis c,Consult nearest hospital,Vaccination,Eat healthy,Medication
Migraine,Meditation,Reduce stress,Use poloroid glasses in sun,Consult doctor
Bronchial asthma,Switch to loose cloothing,Take deep breaths,Get away from trigger,Seek help
Alcoholic hepatitis,Stop alcohol consumption,Consult doctor,Medication,Follow up
Jaundice,Drink plenty of water,Consume milk thistle,Eat fruits and high fiberous food,Medication
Hepatitis e,Stop alcohol consumption,Rest,Consult doctor,Medication
Dengue,Drink papaya leaf juice,Avoid fatty spicy food,Keep mosquitos away,Keep hydrated
Hepatitis d,Consult doctor,Medication,Eat healthy,Follow up
Heart attack,Call ambulance,Chew or swallow asprin,Keep calm,
Pneumonia,Consult doctor,Medication,Rest,Follow up
Arthritis,Exercise,Use hot and cold therapy,Try acupuncture,Massage
Gastroenteritis,Stop eating solid food for while,Try taking small sips of water,Rest,Ease back into eating
Tuberculosis,Cover mouth,Consult doctor,Medication,Rest
Covid,Cover mouth,Social distancing,Wear mask,Medication
