Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,Itching, Skin Rash, Nodal Skin Eruptions, Dischromic  Patches,,,,,,,,,,,,,
Fungal infection, Skin Rash, Nodal Skin Eruptions, Dischromic  Patches,,,,,,,,,,,,,,
Fungal infection,Itching, Nodal Skin Eruptions, Dischromic  Patches,,,,,,,,,,,,,,
Fungal infection,Itching, Skin Rash, Dischromic  Patches,,,,,,,,,,,,,,
Fungal infection,Itching, Skin Rash, Nodal Skin Eruptions,,,,,,,,,,,,,,
Fungal infection, Skin Rash, Nodal Skin Eruptions, Dischromic  Patches,,,,,,,,,,,,,,
Fungal infection,Itching, Nodal Skin Eruptions, Dischromic  Patches,,,,,,,,,,,,,,
Fungal infection,Itching, Skin Rash, Dischromic  Patches,,,,,,,,,,,,,,
Fungal infection,Itching, Skin Rash, Nodal Skin Eruptions,,,,,,,,,,,,,,
Fungal infection,Itching, Skin Rash, Nodal Skin Eruptions, Dischromic  Patches,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Shivering, Chills, Watering From Eyes,,,,,,,,,,,,,
Allergy, Shivering, Chills, Watering From Eyes,,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Chills, Watering From Eyes,,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Shivering, Watering From Eyes,,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Shivering, Chills,,,,,,,,,,,,,,
Allergy, Shivering, Chills, Watering From Eyes,,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Chills, Watering From Eyes,,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Shivering, Watering From Eyes,,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Shivering, Chills,,,,,,,,,,,,,,
Allergy, Continuous Sneezing, Shivering, Chills, Watering From Eyes,,,,,,,,,,,,,
GERD, Stomach Pain, Acidity, Ulcers On Tongue, Vomiting, Cough, Chest Pain,,,,,,,,,,,
GERD, Stomach Pain, Ulcers On Tongue, Vomiting, Cough, Chest Pain,,,,,,,,,,,,
GERD, Stomach Pain, Acidity, Vomiting, Cough, Chest Pain,,,,,,,,,,,,
GERD, Stomach Pain, Acidity, Ulcers On Tongue, Cough, Chest Pain,,,,,,,,,,,,
GERD, Stomach Pain, Acidity, Ulcers On Tongue, Vomiting, Chest Pain,,,,,,,,,,,,
